area_type,availability,location,bath,price,bhk,sqft
Super built-up  Area,Ready To Move,Vittasandra,2,70.2,2,2105.0
Built-up  Area,Ready To Move,Bhoganhalli,3,126.0,3,1700.0
Super built-up  Area,Ready To Move,Jakkur,3,139.0,3,1760.0
Built-up  Area,Ready To Move,Bannerghatta Road,2,55.0,2,912.0
Super built-up  Area,Ready To Move,Haralur Road,2,46.0,2,1243.0
Super built-up  Area,Ready To Move,Jigani,2,63.2,2,918.0
Super built-up  Area,Ready To Move,Begur Road,2,70.0,3,1500.0
Plot  Area,Ready To Move,Other,3,250.0,3,3000.0
Super built-up  Area,Ready To Move,Kasavanhalli,3,89.0,3,1476.0
Super built-up  Area,Soon to be Vacated,Mysore Road,2,65.0,2,1200.0
Super built-up  Area,Soon to be Vacated,Vijayanagar,1,34.78,1,606.0
Super built-up  Area,Ready To Move,Garudachar Palya,2,59.5,3,1295.0
Built-up  Area,Ready To Move,Neeladri Nagar,1,26.0,1,527.0
Super built-up  Area,Ready To Move,OMBR Layout,2,80.0,2,1300.0
Built-up  Area,Ready To Move,Koramangala,2,75.2,2,1140.0
Super built-up  Area,Soon to be Vacated,Whitefield,4,128.0,3,2321.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,90.0,3,1725.0
Super built-up  Area,Soon to be Vacated,Hebbal,4,310.0,4,3067.0
Super built-up  Area,Soon to be Vacated,Kanakpura Road,2,85.0,2,1230.0
Built-up  Area,Ready To Move,Other,1,17.0,1,600.0
Super built-up  Area,Soon to be Vacated,Yeshwanthpur,3,96.0,3,1313.0
Plot  Area,Ready To Move,TC Palaya,2,55.0,2,900.0
Super built-up  Area,Ready To Move,Ambalipura,2,66.25,2,1250.0
Super built-up  Area,Soon to be Vacated,Binny Pete,1,54.0,1,660.0
Super built-up  Area,Ready To Move,Basavangudi,2,105.0,2,1036.0
Built-up  Area,Ready To Move,Koramangala,4,450.0,4,2700.0
Super built-up  Area,Ready To Move,Old Madras Road,2,70.0,2,1100.0
Built-up  Area,Ready To Move,Electronics City Phase 1,2,56.0,2,1015.0
Plot  Area,Ready To Move,Gottigere,1,26.0,1,812.0
Super built-up  Area,Ready To Move,Nehru Nagar,3,170.0,3,2167.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,35.0,2,1200.0
Super built-up  Area,Ready To Move,Other,2,75.0,2,1165.0
Super built-up  Area,Ready To Move,BTM 2nd Stage,2,70.0,2,1274.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,39.02,2,1151.0
Super built-up  Area,Ready To Move,Thubarahalli,2,120.0,3,1626.0
Super built-up  Area,Ready To Move,Banashankari Stage V,2,35.77,2,1035.0
Plot  Area,Ready To Move,Other,4,75.0,3,1272.0
Super built-up  Area,Ready To Move,Kothannur,2,42.79,2,1070.0
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,65.0,3,1570.0
Super built-up  Area,Ready To Move,Other,2,65.0,3,1000.0
Plot  Area,Ready To Move,9th Phase JP Nagar,3,188.0,4,1200.0
Built-up  Area,Ready To Move,5th Phase JP Nagar,2,100.0,3,1700.0
Super built-up  Area,Ready To Move,Haralur Road,3,110.0,3,1850.0
Built-up  Area,Ready To Move,Kereguddadahalli,2,30.0,2,904.0
Super built-up  Area,Ready To Move,Sahakara Nagar,2,69.85,2,1270.0
Plot  Area,Ready To Move,Other,4,325.0,3,2400.0
Super built-up  Area,Ready To Move,Mahadevpura,1,35.0,1,730.0
Super built-up  Area,Ready To Move,Varthur,2,36.0,2,977.0
Super built-up  Area,Soon to be Vacated,Jakkur,2,100.0,2,1290.0
Super built-up  Area,Ready To Move,Abbigere,2,32.54,2,795.0
Built-up  Area,Ready To Move,Other,1,142.0,2,1463.0
Built-up  Area,Ready To Move,Vijayanagar,3,140.0,3,1000.0
Super built-up  Area,Ready To Move,Other,3,185.0,3,2401.0
Plot  Area,Ready To Move,Bommenahalli,3,135.0,4,1670.0
Built-up  Area,Ready To Move,Other,2,235.0,3,1875.0
Plot  Area,Ready To Move,Marsur,3,90.0,3,1200.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,3,121.0,3,1804.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,4,210.0,3,2065.0
Super built-up  Area,Ready To Move,Hoskote,3,40.0,3,1225.0
Super built-up  Area,Ready To Move,Bellandur,2,56.0,2,900.0
Super built-up  Area,Soon to be Vacated,Binny Pete,2,91.0,2,1350.0
Super built-up  Area,Ready To Move,Kaggalipura,1,36.0,1,700.0
Super built-up  Area,Soon to be Vacated,Mysore Road,2,35.175,2,1005.0
Super built-up  Area,Ready To Move,Poorna Pragna Layout,2,46.39,2,1160.0
Super built-up  Area,Ready To Move,Hennur Road,3,99.27,3,1680.0
Carpet  Area,Ready To Move,LB Shastri Nagar,2,55.0,2,1043.0
Plot  Area,Ready To Move,Hoskote,4,120.0,4,1200.0
Super built-up  Area,Ready To Move,Hebbal,2,46.0,2,1040.0
Super built-up  Area,Ready To Move,Tindlu,2,65.0,3,1357.0
Super built-up  Area,Ready To Move,Yelachenahalli,2,40.0,2,1130.0
Carpet  Area,Ready To Move,Sultan Palaya,3,120.0,3,1700.0
Super built-up  Area,Ready To Move,Doddathoguru,3,65.0,3,1549.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2,100.0,2,1400.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,2,50.0,2,1080.0
Built-up  Area,Ready To Move,Ulsoor,2,100.0,2,1180.0
Super built-up  Area,Ready To Move,Domlur,3,150.0,3,1800.0
Super built-up  Area,Soon to be Vacated,Haralur Road,2,67.38,2,1225.0
Built-up  Area,Ready To Move,Other,1,75.0,1,890.0
Super built-up  Area,Ready To Move,Abbigere,2,39.59,2,1005.0
Super built-up  Area,Ready To Move,Whitefield,2,95.0,2,1320.0
Built-up  Area,Ready To Move,Anandapura,2,50.0,4,1475.0
Super built-up  Area,Soon to be Vacated,Kudlu Gate,3,99.745,3,1707.0
Super built-up  Area,Soon to be Vacated,Electronic City,2,65.35,2,1128.0
Super built-up  Area,Soon to be Vacated,Jakkur,2,100.0,2,1452.19
Plot  Area,Ready To Move,Other,3,290.0,3,2400.0
Super built-up  Area,Soon to be Vacated,Banashankari,4,135.0,3,2600.0
Super built-up  Area,Ready To Move,Sarakki Nagar,4,325.0,3,2500.0
Built-up  Area,Ready To Move,Sanjay nagar,1,35.0,2,630.0
Super built-up  Area,Ready To Move,Hosa Road,2,48.5,2,1243.0
Super built-up  Area,Ready To Move,Other,3,100.0,3,1690.0
Super built-up  Area,Ready To Move,Banaswadi,2,73.0,2,1365.0
Super built-up  Area,Ready To Move,Hebbal,2,99.39,2,1420.0
Super built-up  Area,Ready To Move,Bisuvanahalli,1,32.0,2,850.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,110.0,3,1575.0
Super built-up  Area,Ready To Move,Thigalarapalya,2,104.0,2,1418.0
Super built-up  Area,Ready To Move,Uttarahalli,2,42.0,2,1050.0
Super built-up  Area,Ready To Move,Hennur Road,2,42.6,2,1065.0
Built-up  Area,Ready To Move,Ulsoor,3,90.0,3,1340.0
Built-up  Area,Soon to be Vacated,Electronic City Phase II,2,33.5,2,1160.0
Super built-up  Area,Ready To Move,Kudlu,2,44.0,2,1092.0
Super built-up  Area,Ready To Move,Parappana Agrahara,2,47.0,2,1194.0
Super built-up  Area,Soon to be Vacated,Abbigere,1,19.82,1,734.0
Super built-up  Area,Ready To Move,Ardendale,2,48.0,2,1100.0
Built-up  Area,Ready To Move,Bellandur,2,79.0,2,1350.0
Super built-up  Area,Soon to be Vacated,Electronic City,2,65.0,2,1128.0
Plot  Area,Ready To Move,Other,2,90.0,2,1350.0
Super built-up  Area,Ready To Move,Kasavanhalli,3,82.0,3,1493.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2,43.91,2,1098.0
Super built-up  Area,Ready To Move,Banashankari,2,170.0,3,1900.0
Super built-up  Area,Ready To Move,Other,3,88.0,3,1460.0
Super built-up  Area,Ready To Move,Frazer Town,4,285.0,3,2350.0
Plot  Area,Ready To Move,Horamavu Banaswadi,5,140.0,5,1600.0
Super built-up  Area,Ready To Move,Varthur,2,32.0,2,1091.0
Super built-up  Area,Soon to be Vacated,Kanakpura Road,3,76.85,2,1366.0
Super built-up  Area,Ready To Move,Other,3,95.0,3,1685.0
Built-up  Area,Ready To Move,Koramangala,2,100.0,2,1260.0
Plot  Area,Ready To Move,Whitefield,3,200.0,3,3010.0
Plot  Area,Ready To Move,Ramamurthy Nagar,4,140.0,3,1330.0
Plot  Area,Ready To Move,Mallasandra,2,130.0,2,1200.0
Super built-up  Area,Soon to be Vacated,Whitefield,2,96.17,2,1346.0
Super built-up  Area,Soon to be Vacated,Chandapura,1,13.86,1,630.0
Super built-up  Area,Soon to be Vacated,Sarjapur  Road,3,98.94,3,1476.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,140.0,3,1850.0
Plot  Area,Ready To Move,Frazer Town,2,423.0,5,2350.0
Super built-up  Area,Ready To Move,Parappana Agrahara,2,46.0,2,1194.0
Super built-up  Area,Soon to be Vacated,Hebbal,4,365.0,4,4235.0
Plot  Area,Soon to be Vacated,Other,1,52.0,1,800.0
Super built-up  Area,Ready To Move,Rachenahalli,3,195.0,3,2250.0
Super built-up  Area,Ready To Move,Vijayanagar,2,68.0,2,1352.0
Super built-up  Area,Ready To Move,Thanisandra,3,112.0,3,2002.0
Plot  Area,Ready To Move,Other,5,280.0,4,4000.0
Built-up  Area,Ready To Move,Kaval Byrasandra,2,45.0,2,1060.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,51.15,2,1196.0
Super built-up  Area,Soon to be Vacated,Electronics City Phase 1,3,75.0,3,1595.0
Super built-up  Area,Ready To Move,Banashankari,2,75.0,2,1260.0
Super built-up  Area,Ready To Move,Hebbal,2,47.0,2,1100.0
Super built-up  Area,Ready To Move,Frazer Town,2,140.0,2,1550.0
Super built-up  Area,Ready To Move,ISRO Layout,2,52.0,2,1180.0
Built-up  Area,Ready To Move,Akshaya Nagar,3,85.0,3,1662.0
Super built-up  Area,Ready To Move,Hennur,2,60.0,2,1285.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,3,119.0,3,1862.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,48.0,2,1419.0
Plot  Area,Ready To Move,Ambedkar Nagar,5,627.0,5,5530.0
Super built-up  Area,Soon to be Vacated,Nagavarapalya,2,99.0,2,1392.0
Super built-up  Area,Soon to be Vacated,Jakkur,3,120.0,3,1798.0
Super built-up  Area,Ready To Move,Babusapalaya,3,75.0,3,1675.0
Plot  Area,Ready To Move,Other,2,70.0,2,792.0
Super built-up  Area,Soon to be Vacated,Hebbal,3,124.0,3,1700.0
Super built-up  Area,Ready To Move,Hulimavu,2,69.0,2,1248.0
Super built-up  Area,Ready To Move,Sultan Palaya,2,40.0,2,1100.0
Super built-up  Area,Ready To Move,Vijayanagar,3,115.0,3,1527.0
Super built-up  Area,Soon to be Vacated,Kanakpura Road,1,25.0,1,525.0
Super built-up  Area,Ready To Move,Kaggadasapura,2,58.0,2,1100.0
Super built-up  Area,Soon to be Vacated,Seegehalli,2,37.5,2,1118.0
Super built-up  Area,Soon to be Vacated,Kanakapura,3,75.0,3,1476.0
Super built-up  Area,Ready To Move,Ambalipura,2,79.0,2,1332.0
Super built-up  Area,Ready To Move,Hennur Road,2,49.0,2,1350.0
Super built-up  Area,Ready To Move,Haralur Road,2,46.0,2,1243.0
Super built-up  Area,Ready To Move,NGR Layout,2,49.73,2,1105.0
Plot  Area,Ready To Move,Padmanabhanagar,2,200.0,3,1500.0
Super built-up  Area,Ready To Move,Kasavanhalli,2,50.0,2,1200.0
Super built-up  Area,Soon to be Vacated,Ramagondanahalli,2,47.4,2,1251.0
Super built-up  Area,Ready To Move,Kambipura,2,45.0,2,883.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3,260.0,3,1800.0
Super built-up  Area,Ready To Move,Hegde Nagar,3,113.0,3,1703.0
Super built-up  Area,Ready To Move,NRI Layout,5,130.0,5,2500.0
Super built-up  Area,Ready To Move,Varthur,3,71.0,3,1250.0
Super built-up  Area,Ready To Move,Jigani,2,43.0,2,933.0
Plot  Area,Ready To Move,Other,1,31.7,1,461.82
Super built-up  Area,Ready To Move,Brookefield,2,75.0,2,1262.0
Super built-up  Area,Ready To Move,Yelahanka,2,48.0,2,915.0
Super built-up  Area,Ready To Move,Malleshpalya,2,55.0,2,1210.0
Super built-up  Area,Ready To Move,Kodihalli,4,260.0,3,2392.0
Plot  Area,Soon to be Vacated,Other,2,85.0,3,1500.0
Super built-up  Area,Ready To Move,Rajaji Nagar,4,570.0,4,3100.0
Plot  Area,Soon to be Vacated,Sarjapura - Attibele Road,4,110.0,4,1800.0
Super built-up  Area,Ready To Move,Uttarahalli,2,55.0,3,1300.0
Built-up  Area,Ready To Move,Vijayanagar,2,60.0,2,989.0
Super built-up  Area,Ready To Move,Jakkur,2,85.0,2,1300.0
Super built-up  Area,Ready To Move,Marathahalli,2,60.0,2,1045.0
Super built-up  Area,Ready To Move,Other,2,75.0,2,1260.0
Super built-up  Area,Ready To Move,Ulsoor,2,125.0,3,1500.0
Super built-up  Area,Ready To Move,Hennur Road,2,83.09,2,1385.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2,75.0,2,1149.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,170.0,3,2180.0
Super built-up  Area,Ready To Move,Hulimavu,3,135.0,3,1818.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3,241.0,3,1640.0
Built-up  Area,Ready To Move,Chandapura,1,27.0,2,630.0
Super built-up  Area,Soon to be Vacated,Hoodi,2,113.0,2,1430.0
Super built-up  Area,Ready To Move,Nagavara,4,180.0,3,2430.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2,55.0,2,1084.0
Super built-up  Area,Ready To Move,Haralur Road,5,240.0,4,3400.0
Super built-up  Area,Ready To Move,Iblur Village,5,282.0,4,3596.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,70.0,2,1295.0
Plot  Area,Ready To Move,Kasavanhalli,4,110.0,3,1000.0
Built-up  Area,Ready To Move,Other,3,285.0,3,2820.0
Super built-up  Area,Ready To Move,Rajaji Nagar,2,170.0,2,1370.0
Super built-up  Area,Ready To Move,JP Nagar,2,62.0,2,1200.0
Plot  Area,Ready To Move,Gunjur,3,95.0,4,2000.0
Built-up  Area,Ready To Move,9th Phase JP Nagar,4,300.0,4,3500.0
Plot  Area,Ready To Move,Kengeri,5,253.0,4,2400.0
Built-up  Area,Ready To Move,Other,3,130.0,3,1950.0
Super built-up  Area,Ready To Move,Somasundara Palya,2,73.0,2,1178.0
Super built-up  Area,Ready To Move,Begur Road,2,42.0,2,1160.0
Super built-up  Area,Ready To Move,Jigani,2,55.0,2,918.0
Super built-up  Area,Soon to be Vacated,Electronic City,3,91.84,3,1563.0
Super built-up  Area,Ready To Move,Other,2,140.0,3,1350.0
Super built-up  Area,Soon to be Vacated,Hebbal,5,386.0,4,3960.0
Super built-up  Area,Ready To Move,Begur Road,2,39.06,2,1240.0
Super built-up  Area,Ready To Move,Kaggadasapura,2,50.0,2,1325.0
Super built-up  Area,Ready To Move,Sonnenahalli,2,44.0,2,1100.0
Super built-up  Area,Ready To Move,Somasundara Palya,2,60.0,2,1260.0
Super built-up  Area,Ready To Move,Arekere,2,125.0,3,1445.0
Super built-up  Area,Ready To Move,Murugeshpalya,3,74.0,3,1550.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,80.91,3,1515.0
Super built-up  Area,Soon to be Vacated,Hosa Road,2,86.12,3,1332.0
Super built-up  Area,Ready To Move,Electronic City,3,70.0,3,1652.0
Super built-up  Area,Ready To Move,Hegde Nagar,3,105.0,3,1570.0
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,1,60.0,1,794.0
Plot  Area,Ready To Move,Seegehalli,2,62.0,3,1200.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,3,410.0,4,3600.0
Plot  Area,Ready To Move,Hosakerehalli,3,175.0,3,1200.0
Super built-up  Area,Ready To Move,JP Nagar,3,220.0,4,1650.0
Super built-up  Area,Ready To Move,HRBR Layout,3,250.0,3,2800.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,110.0,3,1750.0
Built-up  Area,Ready To Move,Hebbal,2,48.0,2,1053.0
Plot  Area,Ready To Move,Other,4,345.0,4,4051.0
Built-up  Area,Ready To Move,Bommasandra,3,80.0,3,1447.0
Built-up  Area,Ready To Move,Balagere,2,75.0,2,1012.0
Super built-up  Area,Ready To Move,Narayanapura,2,92.66,2,1308.0
Super built-up  Area,Ready To Move,Green Glen Layout,4,230.0,4,3250.0
Super built-up  Area,Soon to be Vacated,Gunjur,2,49.11,2,1140.0
Super built-up  Area,Soon to be Vacated,Jakkur,4,260.5,4,3181.0
Built-up  Area,Ready To Move,Uttarahalli,2,55.0,3,1250.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,2,90.0,2,1424.0
Super built-up  Area,Ready To Move,Garudachar Palya,2,60.6,3,1320.0
Built-up  Area,Ready To Move,Akshaya Nagar,3,85.5,3,1662.0
Super built-up  Area,Ready To Move,Begur Road,2,45.0,2,1200.0
Built-up  Area,Ready To Move,Koramangala,3,210.0,3,1975.0
Super built-up  Area,Ready To Move,Garudachar Palya,2,59.5,3,1295.0
Super built-up  Area,Ready To Move,Battarahalli,3,100.0,3,1777.0
Super built-up  Area,Soon to be Vacated,Kadugodi,3,108.0,3,1900.0
Super built-up  Area,Ready To Move,Sompura,2,41.0,2,1020.0
Super built-up  Area,Ready To Move,Other,3,170.0,3,2100.0
Super built-up  Area,Soon to be Vacated,Raja Rajeshwari Nagar,1,31.75,1,648.0
Super built-up  Area,Ready To Move,Neeladri Nagar,2,38.0,3,1167.0
Super built-up  Area,Ready To Move,Hoodi,2,50.89,2,1220.0
Super built-up  Area,Ready To Move,Vittasandra,2,67.4,2,1259.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3,80.0,3,1800.0
Built-up  Area,Ready To Move,Other,3,160.0,3,1991.0
Super built-up  Area,Ready To Move,Bannerghatta,3,110.0,3,1665.0
Super built-up  Area,Ready To Move,Banashankari,2,46.79,2,1170.0
Super built-up  Area,Ready To Move,Old Airport Road,2,60.0,2,1075.0
Super built-up  Area,Soon to be Vacated,Electronic City,2,54.5,2,1025.0
Super built-up  Area,Ready To Move,Thanisandra,3,99.0,3,2000.0
Super built-up  Area,Ready To Move,Whitefield,4,155.0,4,2500.0
Super built-up  Area,Ready To Move,Mallasandra,2,70.0,2,1325.0
Super built-up  Area,Soon to be Vacated,Kadugodi,2,68.2,2,1314.0
Super built-up  Area,Soon to be Vacated,Kanakpura Road,3,136.0,3,2265.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,7,170.0,7,4800.0
Super built-up  Area,Soon to be Vacated,KR Puram,2,51.22,2,1192.5
Super built-up  Area,Soon to be Vacated,Hebbal,2,99.39,2,1420.0
Super built-up  Area,Soon to be Vacated,JP Nagar,2,90.87,2,1300.0
Super built-up  Area,Soon to be Vacated,Rajaji Nagar,2,97.16,2,1216.0
Plot  Area,Soon to be Vacated,Other,4,342.0,4,3000.0
Built-up  Area,Ready To Move,Begur,3,63.0,3,1559.0
Super built-up  Area,Ready To Move,Harlur,2,87.0,2,1290.0
Plot  Area,Ready To Move,Other,6,245.0,6,2400.0
Built-up  Area,Soon to be Vacated,Whitefield,1,55.0,1,905.0
Super built-up  Area,Soon to be Vacated,Sarjapura - Attibele Road,2,22.8,2,829.0
Built-up  Area,Ready To Move,Koramangala,2,200.0,2,1900.0
Super built-up  Area,Ready To Move,Channasandra,2,33.45,2,1115.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3,360.0,3,2409.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,4,125.0,3,2150.0
Plot  Area,Ready To Move,Hosakerehalli,5,250.0,5,2400.0
Plot  Area,Ready To Move,Other,2,105.0,2,1375.0
Super built-up  Area,Ready To Move,Subramanyapura,2,66.5,2,1313.0
Plot  Area,Ready To Move,Attibele,4,275.0,4,3640.0
Super built-up  Area,Soon to be Vacated,Other,3,108.0,3,1693.0
Plot  Area,Ready To Move,Other,3,200.0,3,1200.0
Super built-up  Area,Ready To Move,Subramanyapura,2,79.0,3,1255.0
Carpet  Area,Ready To Move,Uttarahalli,3,88.0,3,1700.0
Super built-up  Area,Ready To Move,Harlur,3,115.0,3,1749.0
Plot  Area,Ready To Move,Dasanapura,3,65.0,2,1500.0
Built-up  Area,Ready To Move,Akshaya Nagar,2,60.0,2,1280.0
Super built-up  Area,Ready To Move,Ramagondanahalli,2,115.0,3,1610.0
Plot  Area,Ready To Move,TC Palaya,2,66.0,2,1200.0
Super built-up  Area,Soon to be Vacated,9th Phase JP Nagar,2,50.0,2,1127.0
Built-up  Area,Ready To Move,Indira Nagar,2,102.0,2,1210.0
Super built-up  Area,Ready To Move,Thigalarapalya,4,380.0,4,4190.0
Super built-up  Area,Ready To Move,Whitefield,3,146.0,4,2268.0
Super built-up  Area,Ready To Move,Other,2,77.5,3,1150.0
Built-up  Area,Ready To Move,Magadi Road,2,55.0,2,1345.0
Built-up  Area,Ready To Move,Kengeri,2,36.0,2,750.0
Super built-up  Area,Ready To Move,Pattandur Agrahara,2,59.8,2,1247.0
Super built-up  Area,Ready To Move,Kaggalipura,2,48.0,2,950.0
Super built-up  Area,Ready To Move,Marathahalli,2,58.86,2,1215.0
Built-up  Area,Ready To Move,Other,1,30.0,1,900.0
Super built-up  Area,Ready To Move,Hennur Road,3,174.0,3,2350.0
Super built-up  Area,Ready To Move,Other,3,150.0,3,1672.0
Plot  Area,Ready To Move,Laggere,5,125.0,5,2800.0
Plot  Area,Soon to be Vacated,Whitefield,4,378.0,4,4500.0
Super built-up  Area,Soon to be Vacated,Bommasandra,2,37.46,2,920.0
Plot  Area,Soon to be Vacated,Sarjapur  Road,3,70.0,3,1200.0
Built-up  Area,Ready To Move,Other,3,139.0,3,1250.0
Super built-up  Area,Soon to be Vacated,Hosakerehalli,4,153.0,3,1817.0
Plot  Area,Ready To Move,Cooke Town,6,375.0,5,2043.0
Super built-up  Area,Ready To Move,HSR Layout,2,46.0,2,1140.0
Built-up  Area,Ready To Move,Yelahanka,4,450.0,4,4346.0
Super built-up  Area,Ready To Move,Haralur Road,2,56.0,2,1464.0
Super built-up  Area,Ready To Move,Other,3,130.0,2,1468.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,82.0,3,1555.0
Super built-up  Area,Soon to be Vacated,Kadubeesanahalli,2,35.0,2,970.0
Plot  Area,Ready To Move,Konanakunte,3,317.0,3,2779.0
Super built-up  Area,Ready To Move,Electronic City,3,58.0,3,1350.0
Super built-up  Area,Ready To Move,Kodichikkanahalli,2,75.0,3,1495.0
Built-up  Area,Ready To Move,Indira Nagar,2,105.0,2,1224.0
Super built-up  Area,Ready To Move,Banashankari Stage III,2,68.0,3,1350.0
Built-up  Area,Ready To Move,Green Glen Layout,2,56.8,2,940.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,55.0,2,1100.0
Super built-up  Area,Ready To Move,Kaikondrahalli,2,61.0,2,1300.0
Built-up  Area,Ready To Move,Other,2,145.0,3,1480.0
Super built-up  Area,Ready To Move,Hoodi,2,46.37,2,1105.0
Plot  Area,Soon to be Vacated,Sarjapur  Road,3,200.0,3,2600.0
Super built-up  Area,Soon to be Vacated,Yelahanka,3,76.3,3,1517.0
Super built-up  Area,Ready To Move,Marathahalli,2,73.0,2,1365.0
Super built-up  Area,Ready To Move,CV Raman Nagar,2,98.0,2,1392.0
Super built-up  Area,Soon to be Vacated,Kodigehalli,2,33.66,2,1086.0
Super built-up  Area,Ready To Move,Hennur Road,3,93.94,3,1586.0
Built-up  Area,Ready To Move,Hennur,2,60.0,2,1100.0
Super built-up  Area,Soon to be Vacated,Electronic City Phase II,2,30.75,2,1065.0
Plot  Area,Ready To Move,TC Palaya,2,120.0,3,1500.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2,120.0,3,1575.0
Super built-up  Area,Ready To Move,Hennur Road,3,123.0,3,1975.0
Super built-up  Area,Ready To Move,Gubbalala,3,110.0,3,1745.0
Super built-up  Area,Ready To Move,Nagarbhavi,2,60.0,2,1223.0
Super built-up  Area,Ready To Move,Ananth Nagar,2,65.0,3,1200.0
Super built-up  Area,Ready To Move,Basaveshwara Nagar,2,90.0,2,1200.0
Super built-up  Area,Soon to be Vacated,Binny Pete,1,46.08,1,665.0
Super built-up  Area,Ready To Move,Bharathi Nagar,2,70.0,2,1351.0
Super built-up  Area,Soon to be Vacated,Hebbal,3,83.87,3,1355.0
Carpet  Area,Ready To Move,Amruthahalli,2,60.0,2,900.0
Built-up  Area,Soon to be Vacated,Harlur,4,260.0,4,3385.0
Super built-up  Area,Ready To Move,Other,3,285.0,3,2280.0
Built-up  Area,Ready To Move,Hoodi,2,53.0,2,1247.0
Super built-up  Area,Soon to be Vacated,Other,3,200.0,3,2000.0
Super built-up  Area,Soon to be Vacated,Balagere,2,68.38,2,1020.07
Super built-up  Area,Ready To Move,Garudachar Palya,2,52.8,2,1150.0
Super built-up  Area,Ready To Move,Babusapalaya,2,46.0,2,1141.0
Plot  Area,Ready To Move,Doddaballapur,4,325.0,4,4200.0
Super built-up  Area,Soon to be Vacated,Hosa Road,2,125.0,3,1665.0
Super built-up  Area,Soon to be Vacated,Kanakapura,2,64.0,2,1295.0
Super built-up  Area,Soon to be Vacated,Haralur Road,2,78.0,2,1230.0
Super built-up  Area,Ready To Move,Other,2,75.0,3,1080.0
Super built-up  Area,Ready To Move,Kaggalipura,2,60.0,2,1000.0
Super built-up  Area,Soon to be Vacated,Whitefield,1,32.79,1,630.5
Super built-up  Area,Soon to be Vacated,Rayasandra,3,75.0,3,1708.0
Super built-up  Area,Ready To Move,Thanisandra,3,115.0,3,1697.0
Super built-up  Area,Ready To Move,Whitefield,5,210.0,4,3537.0
Super built-up  Area,Soon to be Vacated,Hosa Road,1,28.29,1,615.0
Built-up  Area,Ready To Move,Banashankari,2,83.0,3,1350.0
Super built-up  Area,Soon to be Vacated,Jalahalli,2,32.49,2,1083.0
Super built-up  Area,Ready To Move,Gottigere,2,65.0,3,1460.0
Super built-up  Area,Ready To Move,Babusapalaya,2,58.0,2,1084.0
Super built-up  Area,Soon to be Vacated,Bommasandra,2,41.43,2,1035.0
Super built-up  Area,Ready To Move,Other,2,150.0,3,2400.0
Super built-up  Area,Ready To Move,Hosur Road,1,21.0,1,460.0
Plot  Area,Ready To Move,Sarjapur,3,78.0,3,1200.0
Super built-up  Area,Ready To Move,Hegde Nagar,3,140.0,3,1801.0
Super built-up  Area,Soon to be Vacated,Whitefield,3,115.0,3,1697.0
Super built-up  Area,Ready To Move,AECS Layout,2,65.0,2,1199.0
Super built-up  Area,Ready To Move,Iblur Village,3,220.0,3,2300.0
Super built-up  Area,Ready To Move,Other,2,75.0,2,1125.0
Plot  Area,Ready To Move,Anandapura,2,67.0,2,1200.0
Built-up  Area,Ready To Move,Subramanyapura,2,41.0,2,1050.0
Built-up  Area,Ready To Move,Nagarbhavi,2,49.0,2,956.0
Super built-up  Area,Ready To Move,Sarjapur,2,30.0,2,1000.0
Built-up  Area,Ready To Move,Other,3,95.0,3,1596.0
Super built-up  Area,Soon to be Vacated,Kanakpura Road,2,89.06,2,1296.0
Built-up  Area,Ready To Move,Other,3,123.0,3,1639.0
Super built-up  Area,Ready To Move,Electronic City Phase II,2,61.25,2,1219.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2,73.0,2,1218.0
